timestamp,zip,sensor_id,lat,lon,pm25,aqi,quality_flag,source
2025-08-21T15:00:00Z,93727,S-001,36.73558,-119.69900,4.27,18,ok,synthetic
2025-08-21T15:00:00Z,93727,S-002,36.72100,-119.69107,6.57,27,ok,synthetic
2025-08-21T15:00:00Z,93727,S-003,36.73946,-119.67293,7.35,31,ok,synthetic
2025-08-21T15:00:00Z,93727,S-004,36.74569,-119.69652,5.00,21,ok,synthetic
2025-08-21T15:00:00Z,93727,S-005,36.72688,-119.69881,3.99,17,ok,synthetic
2025-08-21T15:00:00Z,93727,S-006,36.71875,-119.67979,3.03,13,ok,synthetic
2025-08-21T15:00:00Z,93720,S-007,36.85106,-119.80205,4.51,19,ok,synthetic
2025-08-21T15:00:00Z,93720,S-008,36.87600,-119.78820,2.36,10,ok,synthetic
2025-08-21T15:00:00Z,93720,S-009,36.85882,-119.78643,5.31,22,ok,synthetic
2025-08-21T15:00:00Z,93720,S-010,36.88238,-119.80974,56.99,152,ok,synthetic
2025-08-21T15:00:00Z,93720,S-011,36.88223,-119.78207,2.04,8,ok,synthetic
2025-08-21T15:00:00Z,93720,S-012,36.86361,-119.80378,2.94,12,ok,synthetic
2025-08-21T15:00:00Z,93706,S-013,36.70829,-119.82654,2.97,12,ok,synthetic
2025-08-21T15:00:00Z,93706,S-014,36.67371,-119.83613,5.50,23,ok,synthetic
2025-08-21T15:00:00Z,93706,S-015,36.70390,-119.81585,6.13,26,ok,synthetic
2025-08-21T15:00:00Z,93706,S-016,36.70229,-119.81081,7.35,31,ok,synthetic
2025-08-21T15:00:00Z,93706,S-017,36.69145,-119.80108,5.24,22,ok,synthetic
2025-08-21T15:00:00Z,93706,S-018,36.68514,-119.81792,5.58,23,ok,synthetic
2025-08-21T16:00:00Z,93727,S-001,36.73558,-119.69900,5.40,23,ok,synthetic
2025-08-21T16:00:00Z,93727,S-002,36.72100,-119.69107,3.02,13,ok,synthetic
2025-08-21T16:00:00Z,93727,S-003,36.73946,-119.67293,2.28,10,ok,synthetic
2025-08-21T16:00:00Z,93727,S-004,36.74569,-119.69652,2.39,10,ok,synthetic
2025-08-21T16:00:00Z,93727,S-005,36.72688,-119.69881,5.06,21,ok,synthetic
2025-08-21T16:00:00Z,93727,S-006,36.71875,-119.67979,3.73,16,ok,synthetic
2025-08-21T16:00:00Z,93720,S-007,36.85106,-119.80205,1.92,8,ok,synthetic
2025-08-21T16:00:00Z,93720,S-008,36.87600,-119.78820,3.83,16,ok,synthetic
2025-08-21T16:00:00Z,93720,S-009,36.85882,-119.78643,1.44,6,ok,synthetic
2025-08-21T16:00:00Z,93720,S-010,36.88238,-119.80974,1.40,6,ok,synthetic
2025-08-21T16:00:00Z,93720,S-011,36.88223,-119.78207,5.54,23,ok,synthetic
2025-08-21T16:00:00Z,93720,S-012,36.86361,-119.80378,3.37,14,ok,synthetic
2025-08-21T16:00:00Z,93706,S-013,36.70829,-119.82654,5.77,24,ok,synthetic
2025-08-21T16:00:00Z,93706,S-014,36.67371,-119.83613,2.70,11,ok,synthetic
2025-08-21T16:00:00Z,93706,S-015,36.70390,-119.81585,3.14,13,ok,synthetic
2025-08-21T16:00:00Z,93706,S-016,36.70229,-119.81081,2.61,11,ok,synthetic
2025-08-21T16:00:00Z,93706,S-017,36.69145,-119.80108,5.94,25,ok,synthetic
2025-08-21T16:00:00Z,93706,S-018,36.68514,-119.81792,4.84,20,ok,synthetic
